symbol,name,report_date,pub_date,year,quarter,roe,net_margin,gross_margin,net_profit,eps,revenue,debt_ratio,source
601138,工业富联,2025-12-31,2026-04-30,2025,4,6.177827193800,,7.350507916500,,0.53,,61.382211709200,mxdata
601179,中国西电,2025-12-31,2026-04-30,2025,4,1.496090047600,,23.352128506200,,0.0676,,45.051331406900,mxdata
601208,东材科技,2025-12-31,2026-04-30,2025,4,3.08045818800,,17.129794269500,,0.18,,44.90363005100,mxdata
601360,三六零,2025-12-31,2026-04-30,2025,4,0.372973011400,,70.701096221200,,0.02,,22.403761757100,mxdata
601519,大智慧,2025-12-31,2026-04-30,2025,4,-2.246859810200,,59.022562900100,,-0.015,,28.196337289100,mxdata
601360,三六零,2025-12-31,2026-04-30,2025,4,1.311617821400,,66.54466967400,,0.04,,21.860996838500,mxdata
601519,大智慧,2025-12-31,2026-04-30,2025,4,-1.074398065500,,63.974114855400,,-0.022,,29.32108377800,mxdata
601669,中国电建,2025-12-31,2026-04-30,2025,4,6.4,,12.426943524600,,0.5276,,79.592243051500,mxdata
601689,拓普集团,2025-12-31,2026-04-30,2025,4,3.430397724900,,19.428710670600,,1.61,,45.06708729600,mxdata
601727,上海电气,2025-12-31,2026-04-30,2025,4,0.259163896200,,17.521924945300,,0.078,,75.441323453100,mxdata
601728,中国电信,2025-12-31,2026-04-30,2025,4,7.2,,29.081116340300,,0.36,,46.216880752300,mxdata
601868,中国能建,2025-12-31,2026-04-30,2025,4,2.249124295800,,12.191539926900,,0.13,,77.738013719300,mxdata
601669,中国电建,2025-12-31,2026-04-30,2025,4,1.31,,10.176367315800,,0.1112,,79.772731086200,mxdata
601689,拓普集团,2025-12-31,2026-04-30,2025,4,2.266757797200,,19.256242305300,,0.32,,40.774880537800,mxdata
601727,上海电气,2025-12-31,2026-04-30,2025,4,0.694312034100,,18.356684201500,,0.0245,,75.498406648600,mxdata
601728,中国电信,2025-12-31,2026-04-30,2025,4,1.58,,28.123671774500,,0.08,,45.866552521500,mxdata
601868,中国能建,2025-12-31,2026-04-30,2025,4,1.173673359400,,10.797012347400,,0.034,,77.180373743900,mxdata
601869,长飞光纤,2025-12-31,2026-04-30,2025,4,6.92,,30.734538761500,,1.07,,51.12322011300,mxdata
601899,紫金矿业,2025-12-31,2026-04-30,2025,4,33.04,,27.727310104700,,1.95,,51.558587824500,mxdata
601985,中国核电,2025-12-31,2026-04-30,2025,4,8.21,,41.320967213700,,0.453,,69.006069048400,mxdata
603019,中科曙光,2025-12-31,2026-04-30,2025,4,10.25,,30.58347251600,,1.49,,43.671265398400,mxdata
603039,泛微网络,2025-12-31,2026-04-30,2025,4,8.067259881700,,93.745365414900,,1.14,,42.419799991300,mxdata
601869,长飞光纤,2025-12-31,2026-04-30,2025,4,3.53,,41.514564269700,,0.6,,49.297826598400,mxdata
601899,紫金矿业,2025-12-31,2026-04-30,2025,4,10.35,,36.325753242400,,0.755,,51.371248568300,mxdata
601985,中国核电,2025-12-31,2026-04-30,2025,4,1.73,,39.501801214900,,0.1,,69.44074549800,mxdata
603019,中科曙光,2025-12-31,2026-04-30,2025,4,1.02,,26.557524416800,,0.156,,41.135335802800,mxdata
603039,泛微网络,2025-12-31,2026-04-30,2025,4,2.44918235600,,93.716912635800,,0.24,,37.893378083600,mxdata
603186,华正新材,2025-12-31,2026-04-30,2025,4,1.518487342500,,12.020629071200,,0.21,,64.496743612500,mxdata
603220,中贝通信,2025-12-31,2026-04-30,2025,4,-0.000094972200,,16.860185583700,,,,59.291566895500,mxdata
