symbol,date,net_main_force,net_super_large,net_large,net_medium,net_small,days_inflow,days_outflow
000938,20260703,664800000.0,424700000.0,240099999.99999997,0.0,-484600000.0,0,0
000938,20260702,-108500000.0,-251300000.0,142800000.0,0.0,40930000.0,0,0
000938,20260701,-459100000.0,-319600000.0,-139500000.0,0.0,621400000.0,0,0
000938,20260707 12:41,-562700000.0,-844300000.0,281600000.0,382300000.0,180400000.0,0,0
000959,20260706,-5334000.0,0.0,0.0,0.0,0.0,0,0
000959,20260703,-23040000.0,0.0,0.0,0.0,0.0,0,0
000959,20260702,-6342000.0,0.0,0.0,0.0,0.0,0,0
000959,20260701,27480000.0,0.0,0.0,0.0,0.0,0,0
000970,20260706,-132700000.0,-117800000.0,-14940000.0,0.0,128600000.0,0,0
000970,20260703,208800000.0,54100000.0,154700000.0,0.0,-172800000.0,0,0
000970,20260702,130800000.0,98570000.0,32210000.0,0.0,-103400000.0,0,0
000970,20260701,-44430000.0,-26700000.0,-17730000.0,0.0,53110000.0,0,0
000970,20260707 12:41,277300000.0,292000000.0,-14760000.0,-131200000.0,-146000000.0,0,0
000977,20260706,297900000.0,48860000.0,249100000.0,0.0,-232900000.00000003,0,0
000977,20260703,727600000.0,883200000.0000001,-155600000.0,0.0,-354800000.0,0,0
000977,20260702,-408800000.0,-271700000.0,-137100000.0,0.0,358100000.0,0,0
000977,20260701,-462700000.0,-242499999.99999997,-220299999.99999997,0.0,552800000.0,0,0
000977,20260707 12:41,529700000.0,381900000.0,147800000.0,-305400000.0,-224400000.00000003,0,0
000988,20260706,-755200000.0,-499400000.0,-255799999.99999997,0.0,481900000.0,0,0
000988,20260703,-309000000.0,-176200000.0,-132800000.0,0.0,243699999.99999997,0,0
000988,20260702,-2387000000.0,-1786000000.0,-601100000.0,0.0,1381000000.0,0,0
000988,20260701,-2323000000.0,-1748999999.9999998,-573600000.0,0.0,1391000000.0,0,0
000988,20260707 12:41,-122200000.0,-135100000.0,12880000.0,57290000.0,64890000.0,0,0
001309,20260706,511400000.0,-27490000.0,538900000.0,0.0,-534000.0,0,0
001309,20260703,738900000.0,927500000.0,-188600000.0,0.0,-409300.0,0,0
001309,20260702,-1572000000.0,-1304000000.0,-268800000.0,0.0,-397700.00000000006,0,0
001309,20260701,-1561000000.0,-1274000000.0,-287000000.0,0.0,-412100.0,0,0
001309,20260707 12:41,-777100000.0,-621900000.0,-155200000.0,777400000.0,-230100.00000000003,0,0
001896,20260706,289800000.0,235200000.0,54610000.0,0.0,-197200000.0,0,0
001896,20260703,193900000.0,259500000.00000003,-65550000.0,0.0,-35440000.0,0,0
001896,20260702,-217000000.0,-57400000.0,-159600000.0,0.0,348400000.0,0,0
001896,20260701,327800000.0,262500000.0,65350000.0,0.0,-152700000.0,0,0
001896,20260707 12:41,-61440000.0,-2471000.0,-58970000.0,-46090000.0,107500000.0,0,0
002028,20260706,283600000.0,25560000.0,258000000.0,0.0,-110900000.0,0,0
002028,20260703,110200000.00000001,135500000.0,-25360000.0,0.0,-69150000.0,0,0
002028,20260702,-289300000.0,-65830000.0,-223500000.0,0.0,236300000.0,0,0
002028,20260701,-201900000.0,-71220000.0,-130700000.0,0.0,157000000.0,0,0
002028,20260707 12:41,36640000.0,36470000.0,168700.0,-112999999.99999999,76370000.0,0,0
002049,20260706,-37650000.0,-124700000.00000001,87030000.0,0.0,-31840000.0,0,0
002049,20260703,-35270000.0,-68340000.0,33070000.0,0.0,15230000.0,0,0
002049,20260702,-214800000.0,-102299999.99999999,-112400000.00000001,0.0,220800000.00000003,0,0
002049,20260701,-369000000.0,-200900000.0,-168100000.0,0.0,220299999.99999997,0,0
002049,20260707 12:42,57870000.0,83480000.0,-25610000.0,-15780000.0,-42090000.0,0,0
002050,20260706,-1520000000.0,-1424000000.0,-96920000.0,0.0,891700000.0,0,0
002050,20260703,2188000000.0,2511000000.0,-323000000.0,0.0,-944600000.0,0,0
002050,20260702,318300000.0,462700000.0,-144400000.0,0.0,-219499999.99999997,0,0
002050,20260701,148300000.0,111800000.00000001,36470000.0,0.0,-169100000.0,0,0
002063,20260706,2683000.0,0.0,0.0,0.0,0.0,0,0
002063,20260703,-4575000.0,0.0,0.0,0.0,0.0,0,0
002063,20260702,-9044000.0,0.0,0.0,0.0,0.0,0,0
002063,20260701,5596000.0,0.0,0.0,0.0,0.0,0,0
002080,20260706,-398700000.0,-257500000.00000003,-141100000.0,0.0,430900000.0,0,0
002080,20260703,186400000.0,-135200000.0,321600000.0,0.0,-198000000.0,0,0
002080,20260702,-467900000.0,-228399999.99999997,-239500000.0,0.0,320100000.0,0,0
002080,20260701,-128400000.0,-101400000.0,-27000000.0,0.0,-3068000.0,0,0
002080,20260707 12:42,-87030000.0,-26300000.0,-60730000.0,-153600000.0,240600000.0,0,0
