symbol,date,margin_buy,margin_repay,margin_balance,margin_ratio,sec_lending_volume,sec_lending_balance
000988,20260630,3049228391.0,2927360651.0,11619766912.0,0.0,14000.0,50287764.0
001309,20260706,2770164329.0,2022117412.0,12339350913.0,0.0,1200.0,72032400.0
001309,20260703,2134990769.0,2075261375.0,11591303996.0,0.0,2600.0,68647874.0
001309,20260702,1279782505.0,2031429937.0,11531574602.0,0.0,900.0,61425140.0
001309,20260701,1926789926.0,2601883356.0,12283222034.0,0.0,1300.0,70064177.0
001309,20260630,1966606900.0,1822422187.0,12958315464.0,0.0,1100.0,73961076.0
001896,20260706,164863528.0,245584963.0,904052981.0,0.0,0.0,1329055.0
001896,20260703,417419748.0,142965165.0,984774416.0,0.0,39800.0,1897131.0
001896,20260702,288378910.0,173035356.0,710319833.0,0.0,0.0,1264655.0
001896,20260701,260702404.0,284348765.0,594976279.0,0.0,21900.0,2096829.0
001896,20260630,329169316.0,308419581.0,618622640.0,0.0,0.0,1634424.0
002028,20260706,72337838.0,130822412.0,1075785762.0,0.0,8600.0,22158240.0
002028,20260703,93661787.0,122779250.0,1134270336.0,0.0,22000.0,20855660.0
002028,20260702,93885554.0,179579537.0,1163387799.0,0.0,18300.0,20844504.0
002028,20260701,106409021.0,138170443.0,1249081782.0,0.0,13800.0,21599831.0
002028,20260630,134787957.0,93566357.0,1280843204.0,0.0,6900.0,22074800.0
002049,20260706,580835474.0,524447107.0,4428758215.0,0.0,24800.0,7597824.0
002049,20260703,401854878.0,367709645.0,4372369848.0,0.0,3400.0,6288979.0
002049,20260702,614106689.0,582091923.0,4338224615.0,0.0,8600.0,6936321.0
002049,20260701,693196465.0,631916904.0,4306209849.0,0.0,1700.0,6689862.0
002049,20260630,629085231.0,581114170.0,4244930288.0,0.0,12100.0,8237775.0
002050,20260706,1035689730.0,1014198634.0,6515829595.0,0.0,9400.0,16007681.0
002050,20260703,1483239117.0,1372233622.0,6494338499.0,0.0,37200.0,18222418.0
002050,20260702,779207102.0,778896372.0,6383333004.0,0.0,38200.0,16434521.0
002050,20260701,669652980.0,594600094.0,6383022274.0,0.0,17500.0,15741501.0
002050,20260630,592737141.0,519710291.0,6307969388.0,0.0,35800.0,15601814.0
002063,20260706,11406435.0,6688125.0,660668042.0,0.0,23100.0,3380921.0
002063,20260703,9438379.0,8719660.0,655949732.0,0.0,47300.0,3795433.0
002063,20260702,9519743.0,15856004.0,655231013.0,0.0,1100.0,3546338.0
002063,20260701,11352102.0,11175026.0,661567274.0,0.0,25500.0,3909082.0
002063,20260630,14932823.0,16344500.0,661390198.0,0.0,54300.0,3729880.0
002080,20260706,270359518.0,286235098.0,1610674685.0,0.0,73400.0,11885216.0
002080,20260703,256343445.0,303185366.0,1626550265.0,0.0,14200.0,13503783.0
002080,20260702,313107472.0,282693121.0,1673392186.0,0.0,6800.0,12382332.0
002080,20260701,284309842.0,275096195.0,1642977835.0,0.0,14900.0,14546800.0
002080,20260630,394645450.0,436809865.0,1633764188.0,0.0,4700.0,14355000.0
002129,20260706,206343314.0,219591235.0,2292360933.0,0.0,2400.0,892782.0
002129,20260703,320111907.0,432338409.0,2305608854.0,0.0,900.0,949892.0
002129,20260702,383236867.0,372605978.0,2417835356.0,0.0,3700.0,1091419.0
002129,20260701,521975844.0,587636804.0,2407204467.0,0.0,100.0,1173935.0
